point_id,easting_m,northing_m,lon_wgs84,lat_wgs84,dsm_obs_m,chm_true_m,sensor_type
LIDAR_001,727470.0,4706850.0,-72.232536,42.480596,215.4400,23.7800,Lidar-DSM
LIDAR_002,727370.0,4706720.0,-72.233803,42.479456,226.6600,30.4600,Lidar-DSM
LIDAR_003,727810.0,4706910.0,-72.228381,42.481036,247.0200,26.1100,Lidar-DSM
LIDAR_004,727910.0,4706660.0,-72.227265,42.478757,242.9300,17.3300,Lidar-DSM
LIDAR_005,727200.0,4706740.0,-72.235861,42.479685,218.5700,22.6800,Lidar-DSM
LIDAR_006,727370.0,4706590.0,-72.233855,42.478286,215.4400,11.2200,Lidar-DSM
LIDAR_007,727920.0,4706650.0,-72.227147,42.478664,247.0300,18.2100,Lidar-DSM
LIDAR_008,727800.0,4706450.0,-72.228685,42.476901,246.0800,23.4400,Lidar-DSM
LIDAR_009,727910.0,4706090.0,-72.227491,42.473630,272.4800,28.0700,Lidar-DSM
LIDAR_010,727280.0,4706250.0,-72.235083,42.475254,248.5500,17.1700,Lidar-DSM
LIDAR_011,727540.0,4706110.0,-72.231979,42.473919,240.3000,22.2300,Lidar-DSM
LIDAR_012,727380.0,4706660.0,-72.233705,42.478913,226.2500,27.4400,Lidar-DSM
LIDAR_013,727230.0,4706140.0,-72.235734,42.474279,253.5700,17.9900,Lidar-DSM
LIDAR_014,727060.0,4706200.0,-72.237776,42.474869,235.1600,15.7100,Lidar-DSM
LIDAR_015,727010.0,4706760.0,-72.238162,42.479921,212.7300,14.1400,Lidar-DSM
LIDAR_016,727700.0,4706620.0,-72.229833,42.478459,242.1800,27.6100,Lidar-DSM
LIDAR_017,727930.0,4706850.0,-72.226946,42.480461,260.6700,22.6000,Lidar-DSM
LIDAR_018,727850.0,4706520.0,-72.228049,42.477516,236.1800,24.8700,Lidar-DSM
LIDAR_019,727280.0,4706520.0,-72.234976,42.477683,233.9500,22.0100,Lidar-DSM
