point_id,easting_m,northing_m,lon_wgs84,lat_wgs84,elevation_obs_m,sigma_m,sensor_type
RTK_01,727910.0,4706080.0,-72.227495,42.473540,243.9889,0.050,RTK-GPS
RTK_02,727410.0,4706090.0,-72.233567,42.473777,227.9417,0.050,RTK-GPS
RTK_03,727370.0,4706650.0,-72.233831,42.478826,199.6712,0.050,RTK-GPS
RTK_04,727100.0,4706760.0,-72.237068,42.479895,192.3533,0.050,RTK-GPS
RTK_05,727130.0,4706200.0,-72.236926,42.474848,225.2313,0.050,RTK-GPS
RTK_06,727740.0,4706710.0,-72.229311,42.479257,209.2681,0.050,RTK-GPS
RTK_07,727580.0,4706080.0,-72.231505,42.473637,223.6267,0.050,RTK-GPS
RTK_08,727560.0,4706730.0,-72.231490,42.479490,199.8016,0.050,RTK-GPS
RTK_09,727830.0,4706430.0,-72.228328,42.476712,221.8222,0.050,RTK-GPS
RTK_10,727780.0,4706850.0,-72.228769,42.480505,201.2336,0.050,RTK-GPS
RTK_11,727250.0,4706430.0,-72.235376,42.476882,219.0906,0.050,RTK-GPS
RTK_12,727620.0,4706520.0,-72.230844,42.477583,210.4078,0.050,RTK-GPS
RTK_13,727290.0,4706770.0,-72.234755,42.479929,193.8176,0.050,RTK-GPS
RTK_14,727680.0,4706690.0,-72.230048,42.479095,210.3327,0.050,RTK-GPS
RTK_15,727530.0,4706970.0,-72.231760,42.481658,190.5700,0.050,RTK-GPS
